Thr_0,Thr_0p1,Thr_0p01,Thr_0p001
5HT1b (0.55),5HT1b (0.55),A4B2 (0.62),5HT1b (0.58)
A4B2 (0.43),A4B2 (0.52),5HT1b (0.60),A4B2 (0.49)
5HT2a (0.37),5HT2a (0.43),5HT2a (0.52),5HT2a (0.44)
CB1 (0.27),MOR (0.35),CB1 (0.52),CB1 (0.36)
M1 (0.25),CB1 (0.33),MOR (0.51),MOR (0.31)
MOR (0.21),H3 (0.23),H3 (0.39),M1 (0.30)
NET (0.18),M1 (0.20),M1 (0.38),H3 (0.20)
H3 (0.12),NET (0.11),mGluR5 (0.27),NET (0.18)
5HT4 (0.05),5HT4 (0.09),5HT4 (0.26),5HT4 (0.13)
5HT6 (-0.03),mGluR5 (0.04),5HT6 (0.22),mGluR5 (0.07)
mGluR5 (-0.04),5HT6 (0.00),NET (0.21),5HT6 (0.05)
GABAa (-0.21),GABAa (-0.18),5HT1a (-0.08),GABAa (-0.18)
5HT1a (-0.35),5HT1a (-0.26),GABAa (-0.12),5HT1a (-0.26)
D2 (-0.40),VAChT (-0.35),D2 (-0.15),D2 (-0.32)
VAChT (-0.42),D2 (-0.36),VAChT (-0.17),VAChT (-0.36)
D1 (-0.56),D1 (-0.44),D1 (-0.29),D1 (-0.48)
NMDA (-0.66),NMDA (-0.60),NMDA (-0.48),NMDA (-0.61)
DAT (-0.76),DAT (-0.68),DAT (-0.52),DAT (-0.70)
5HTT (-0.80),5HTT (-0.75),5HTT (-0.62),5HTT (-0.75)
